year,home_team,away_team,home_points,away_points,neutral,home_avg_rank,home_avg_points,away_avg_rank,away_avg_points,home_ppa_return,home_usage_return,away_ppa_return,away_usage_return,rank_diff,points_diff,ppa_return_diff,usage_return_diff,home_win
2014,Alabama,Texas A&M,59,0,0,1.75,303.83,18.75,237.70999999999998,0.574,0.589,0.227,0.28,17.0,66.12,0.347,0.30899999999999994,1
2014,Indiana,Michigan State,17,56,0,57.75,172.2175,31.25,207.28000000000003,0.446,0.546,1.016,0.969,-26.5,-35.06250000000003,-0.5700000000000001,-0.42299999999999993,0
2014,Ohio State,Rutgers,56,17,0,7.75,276.3325,38.5,199.75,0.62,0.571,0.566,0.792,30.75,76.58249999999998,0.05400000000000005,-0.22100000000000009,1
2014,Texas Tech,Kansas,34,21,0,32.5,210.18,58.5,166.255,0.46,0.56,0.77,0.322,26.0,43.92500000000001,-0.31,0.23800000000000004,1
2014,Louisville,NC State,30,18,0,38.0,198.47750000000002,54.25,174.33,0.378,0.373,0.24,0.337,16.25,24.147500000000008,0.138,0.035999999999999976,1
2014,Boston College,Clemson,13,17,0,59.75,163.5025,18.0,244.79,0.199,0.181,0.288,0.288,-41.75,-81.2875,-0.08899999999999997,-0.10699999999999998,0
2014,Arkansas,Georgia,32,45,0,28.0,217.03750000000002,9.75,268.0,0.667,0.856,0.513,0.528,-18.25,-50.96249999999998,0.15400000000000003,0.32799999999999996,0
2014,TCU,Oklahoma State,42,9,0,34.75,203.44000000000003,29.0,209.81500000000003,0.565,0.592,0.431,0.472,-5.75,-6.375,0.13399999999999995,0.12,1
2014,USC,Colorado,56,28,0,6.75,278.08500000000004,57.0,171.6525,0.706,0.759,0.624,0.718,50.25,106.43250000000003,0.08199999999999996,0.041000000000000036,1
2014,Florida,Missouri,13,42,0,4.5,291.255,38.25,197.3425,0.436,0.639,0.312,0.373,33.75,93.9125,0.124,0.266,0
2014,North Carolina,Georgia Tech,48,43,0,27.5,215.38500000000002,52.25,177.20250000000001,0.492,0.628,0.441,0.367,24.75,38.182500000000005,0.05099999999999999,0.261,1
2014,Ole Miss,Tennessee,34,3,0,25.0,229.08999999999997,16.25,245.5525,0.625,0.749,0.799,0.649,-8.75,-16.462500000000034,-0.17400000000000004,0.09999999999999998,1
2014,Northwestern,Nebraska,17,38,0,59.0,170.21,24.0,224.9475,0.742,0.647,0.556,0.666,-35.0,-54.73749999999998,0.18599999999999994,-0.019000000000000017,0
2014,LSU,Kentucky,41,3,0,9.0,268.5225,42.25,189.77,0.118,0.25,0.537,0.525,33.25,78.75249999999997,-0.41900000000000004,-0.275,1
2014,Oregon,Washington,45,20,0,14.25,246.595,21.25,228.4925,0.707,0.807,0.284,0.306,7.0,18.102499999999992,0.423,0.5010000000000001,1
2014,Florida State,Notre Dame,31,27,0,6.25,280.31,11.5,261.57,0.617,0.621,0.457,0.627,5.25,18.74000000000001,0.15999999999999998,-0.006000000000000005,1
2014,Texas,Iowa State,48,45,0,6.25,282.69,64.25,160.9975,0.538,0.565,0.792,0.788,58.0,121.6925,-0.254,-0.2230000000000001,1
2014,Virginia Tech,Miami,6,30,0,26.25,214.815,17.75,241.70499999999998,0.555,0.459,0.408,0.456,-8.5,-26.889999999999986,0.14700000000000008,0.0030000000000000027,0
2014,Wisconsin,Maryland,52,7,0,48.75,180.06000000000003,41.0,191.6775,0.468,0.617,0.879,0.946,-7.75,-11.617499999999978,-0.411,-0.32899999999999996,1
2014,Illinois,Minnesota,28,24,0,53.0,175.60750000000002,58.75,166.6825,0.262,0.387,0.624,0.652,5.75,8.925000000000011,-0.362,-0.265,1
2014,Nebraska,Rutgers,42,24,0,24.0,224.9475,38.5,199.75,0.556,0.666,0.566,0.792,14.5,25.19749999999999,-0.009999999999999898,-0.126,1
2014,Kansas State,Texas,23,0,0,66.0,156.14499999999998,6.25,282.69,0.743,0.506,0.538,0.565,-59.75,-126.54500000000002,0.20499999999999996,-0.05899999999999994,1
2014,Virginia,North Carolina,27,28,0,37.75,204.2025,27.5,215.38500000000002,0.748,0.926,0.492,0.628,-10.25,-11.182500000000033,0.256,0.29800000000000004,0
2014,Colorado,UCLA,37,40,0,57.0,171.6525,20.0,240.03500000000003,0.624,0.718,0.912,0.882,-37.0,-68.38250000000002,-0.28800000000000003,-0.16400000000000003,0
2014,Oklahoma State,West Virginia,10,34,0,29.0,209.81500000000003,37.25,194.9325,0.431,0.472,0.704,0.683,8.25,14.882500000000022,-0.27299999999999996,-0.21100000000000008,0
2014,TCU,Texas Tech,82,27,0,34.75,203.44000000000003,32.5,210.18,0.565,0.592,0.46,0.56,-2.25,-6.739999999999981,0.10499999999999993,0.03199999999999992,1
2014,Pittsburgh,Georgia Tech,28,56,0,42.0,189.39,52.25,177.20250000000001,0.494,0.548,0.441,0.367,10.25,12.187499999999972,0.05299999999999999,0.18100000000000005,0
2014,Wake Forest,Boston College,17,23,0,65.0,158.10999999999999,59.75,163.5025,0.243,0.251,0.199,0.181,-5.25,-5.3925000000000125,0.043999999999999984,0.07,0
2014,Michigan State,Michigan,35,11,0,31.25,207.28000000000003,14.25,253.14,1.016,0.969,0.658,0.696,-17.0,-45.85999999999996,0.358,0.273,1
2014,Kentucky,Mississippi State,31,45,0,42.25,189.77,29.25,208.1175,0.537,0.525,0.91,0.737,-13.0,-18.347499999999997,-0.373,-0.21199999999999997,0
2014,Missouri,Vanderbilt,24,14,0,38.25,197.3425,43.0,189.4675,0.312,0.373,0.081,0.429,4.75,7.875,0.23099999999999998,-0.055999999999999994,1
2014,Clemson,Syracuse,16,6,0,18.0,244.79,63.0,162.57999999999998,0.288,0.288,0.886,0.593,45.0,82.21000000000001,-0.5980000000000001,-0.305,1
2014,LSU,Ole Miss,10,7,0,9.0,268.5225,25.0,229.08999999999997,0.118,0.25,0.625,0.749,16.0,39.432500000000005,-0.507,-0.499,1
2014,Auburn,South Carolina,42,35,0,8.0,271.8725,21.5,231.815,0.807,0.68,0.533,0.57,13.5,40.057500000000005,0.274,0.1100000000000001,1
2014,Tennessee,Alabama,20,34,0,16.25,245.5525,1.75,303.83,0.799,0.649,0.574,0.589,-14.5,-58.277499999999975,0.2250000000000001,0.06000000000000005,0
2014,Penn State,Ohio State,24,31,0,31.0,209.84,7.75,276.3325,0.539,0.85,0.62,0.571,-23.25,-66.49249999999998,-0.08099999999999996,0.279,0
