year,home_team,away_team,home_points,away_points,spread,model_home_win_prob,model_pick_home,vegas_pick_home,model_correct,home_win
2023,Virginia,Georgia Tech,17,45,-1.5,0.4740778172149669,0,1,1,0
2023,Ole Miss,Texas A&M,38,35,-3.5,0.22753914966542063,0,1,0,1
2023,Mississippi State,Ole Miss,7,17,10.5,0.5264478817419391,1,0,0,0
2023,Arkansas,Auburn,10,48,-2.0,0.37425984168752996,0,1,1,0
2023,Kansas State,Iowa State,35,42,-11.5,0.46530431962046065,0,1,1,0
2023,Missouri,South Carolina,34,12,-7.5,0.4886856383082042,0,1,0,1
2023,Baylor,West Virginia,31,34,8.5,0.6221136730084412,1,0,0,0
2023,Florida,Florida State,15,24,6.5,0.5577847240986299,1,0,0,0
2023,Illinois,Northwestern,43,45,-5.5,0.4056760615907707,0,1,1,0
2023,Michigan,Ohio State,30,24,-3.0,0.4606753618544281,0,1,0,1
2023,Purdue,Minnesota,49,30,2.0,0.5501426627064385,1,0,1,1
2023,Louisville,Kentucky,31,38,-7.0,0.36399008240001085,0,1,1,0
2023,Nebraska,Iowa,10,13,1.0,0.5371032698008661,1,0,0,0
2023,Georgia Tech,Syracuse,31,22,-6.0,0.4970707331238384,0,1,0,1
2023,Missouri,Florida,33,31,-10.5,0.40312750728045177,0,1,0,1
2023,South Carolina,Kentucky,17,14,1.5,0.6094722434778819,1,0,1,1
2023,Kansas,Kansas State,27,31,7.5,0.637236143943442,1,0,0,0
2023,TCU,Baylor,42,17,-13.5,0.41442471655707247,0,1,0,1
2023,Arkansas,Missouri,14,48,7.0,0.5757209780257828,1,0,0,0
2023,Cincinnati,Baylor,29,32,-2.5,0.3487084832534008,0,1,1,0
2023,Wake Forest,Georgia Tech,16,30,-3.5,0.48639716061048544,0,1,1,0
2023,Pittsburgh,Louisville,38,21,7.0,0.5694402878444924,1,0,1,1
2023,Purdue,Syracuse,20,35,1.0,0.5059354680206393,1,0,0,0
2023,West Virginia,Pittsburgh,17,6,2.0,0.6039990799848906,1,0,1,1
2023,Florida,Tennessee,29,16,5.0,0.5804262163667828,1,0,1,1
